enrollment_id,employee_id,course_id,enrolled_date,completed_date,progress,ratings,feedback
1,255,5,2024-08-29,2024-10-07,59,1.7,I would not recommend this course.
2,391,4,2024-05-11,2024-09-26,0,4.8,The materials provided were very helpful.
3,384,3,2023-01-11,2023-03-13,83,3.0,The course met my expectations.
4,141,8,2023-07-09,2023-08-21,59,3.8,"Not much to say, it was a standard course."
5,163,5,2022-12-29,2023-02-25,64,3.5,"Not much to say, it was a standard course."
6,209,24,2024-08-20,2025-01-09,27,1.5,I didn't learn anything new from this course.
7,113,18,2024-02-09,2024-08-06,89,3.9,It was a decent experience overall.
8,115,5,2022-11-25,2023-01-09,37,1.5,I would not recommend this course.
9,409,14,2024-03-25,2024-07-30,44,4.5,"The instructor was great, learned a lot!"
10,328,17,2023-01-27,2023-05-13,45,1.7,I didn't learn anything new from this course.
11,449,19,2024-04-28,2024-05-29,30,4.9,Very informative and well structured.
12,122,3,2024-05-20,2024-09-20,68,4.0,I really enjoyed this course.
13,333,12,2023-01-07,2023-04-18,32,3.1,It was a decent experience overall.
14,435,1,2023-08-17,2024-02-06,39,1.1,I would not recommend this course.
15,285,19,2024-03-31,2024-08-31,79,2.5,The course met my expectations.
16,459,20,2024-08-21,2025-02-09,88,4.0,The materials provided were very helpful.
17,28,13,2023-07-17,2023-10-19,88,4.1,"Excellent course, highly recommend!"
18,494,14,2022-12-21,2023-02-14,24,4.7,I really enjoyed this course.
19,133,14,2023-08-13,2023-11-10,0,3.3,Average course with some useful content.
20,198,12,2022-10-20,2022-11-23,72,1.6,I would not recommend this course.
21,219,7,2023-11-26,2024-01-29,40,1.0,I didn't learn anything new from this course.
22,384,15,2024-07-03,2024-08-30,74,4.1,"The instructor was great, learned a lot!"
23,460,7,2024-08-31,2024-12-19,4,3.4,It was a decent experience overall.
24,301,10,2024-07-09,2024-09-25,97,4.8,I really enjoyed this course.
25,320,1,2024-04-18,2024-07-12,4,3.2,Average course with some useful content.
26,245,14,2023-11-21,2024-02-19,69,2.4,"Poorly organized, I expected better."
27,209,13,2022-10-29,2023-03-15,43,4.4,The materials provided were very helpful.
28,86,21,2023-01-09,2023-04-26,40,2.2,"Poorly organized, I expected better."
29,77,22,2024-09-20,2024-12-21,90,4.4,"Excellent course, highly recommend!"
30,430,8,2023-12-30,2024-06-20,83,4.9,"Excellent course, highly recommend!"
31,477,16,2023-09-17,2023-11-24,100,4.1,"The instructor was great, learned a lot!"
32,458,3,2023-02-25,2023-05-14,69,3.1,"The course was okay, not too bad."
33,82,14,2023-07-07,2023-11-02,65,3.7,The course met my expectations.
34,151,20,2023-01-03,2023-06-22,55,4.2,The materials provided were very helpful.
35,460,8,2024-02-01,2024-06-20,50,3.0,Average course with some useful content.
36,276,17,2024-03-02,2024-04-14,2,1.5,The content was outdated and irrelevant.
37,70,1,2024-04-16,2024-08-01,88,2.3,I didn't learn anything new from this course.
38,318,15,2023-10-17,2023-11-19,3,2.9,Average course with some useful content.
39,88,23,2023-08-08,2024-01-28,34,2.7,It was a decent experience overall.
40,115,24,2024-07-05,2024-11-26,51,1.0,I would not recommend this course.
41,59,14,2024-07-10,2024-11-21,66,1.2,The content was outdated and irrelevant.
42,50,17,2024-06-01,2024-10-12,90,4.7,"The instructor was great, learned a lot!"
43,106,19,2024-08-31,2025-02-18,10,4.6,"The instructor was great, learned a lot!"
44,43,15,2022-11-22,2023-03-15,69,4.8,The materials provided were very helpful.
45,156,10,2023-12-13,2024-03-01,53,2.4,"Poorly organized, I expected better."
