enrollment_id,employee_id,course_id,enrolled_date,completed_date,progress,ratings,category
1,255,5,2024-08-29,2024-10-07,59,1.7,Neutral
2,391,4,2024-05-11,2024-09-26,0,4.8,Positive
3,384,3,2023-01-11,2023-03-13,83,3.0,Neutral
4,141,8,2023-07-09,2023-08-21,59,3.8,Negative
5,163,5,2022-12-29,2023-02-25,64,3.5,Negative
6,209,24,2024-08-20,2025-01-09,27,1.5,Positive
7,113,18,2024-02-09,2024-08-06,89,3.9,Positive
8,115,5,2022-11-25,2023-01-09,37,1.5,Neutral
9,409,14,2024-03-25,2024-07-30,44,4.5,Positive
10,328,17,2023-01-27,2023-05-13,45,1.7,Positive
11,449,19,2024-04-28,2024-05-29,30,4.9,Positive
12,122,3,2024-05-20,2024-09-20,68,4.0,Positive
13,333,12,2023-01-07,2023-04-18,32,3.1,Positive
14,435,1,2023-08-17,2024-02-06,39,1.1,Neutral
15,285,19,2024-03-31,2024-08-31,79,2.5,Neutral
16,459,20,2024-08-21,2025-02-09,88,4.0,Positive
17,28,13,2023-07-17,2023-10-19,88,4.1,Positive
18,494,14,2022-12-21,2023-02-14,24,4.7,Positive
19,133,14,2023-08-13,2023-11-10,0,3.3,Positive
20,198,12,2022-10-20,2022-11-23,72,1.6,Neutral
21,219,7,2023-11-26,2024-01-29,40,1.0,Positive
22,384,15,2024-07-03,2024-08-30,74,4.1,Positive
23,460,7,2024-08-31,2024-12-19,4,3.4,Positive
24,301,10,2024-07-09,2024-09-25,97,4.8,Positive
25,320,1,2024-04-18,2024-07-12,4,3.2,Positive
26,245,14,2023-11-21,2024-02-19,69,2.4,Neutral
27,209,13,2022-10-29,2023-03-15,43,4.4,Positive
28,86,21,2023-01-09,2023-04-26,40,2.2,Neutral
29,77,22,2024-09-20,2024-12-21,90,4.4,Positive
30,430,8,2023-12-30,2024-06-20,83,4.9,Positive
31,477,16,2023-09-17,2023-11-24,100,4.1,Positive
32,458,3,2023-02-25,2023-05-14,69,3.1,Negative
33,82,14,2023-07-07,2023-11-02,65,3.7,Neutral
34,151,20,2023-01-03,2023-06-22,55,4.2,Positive
35,460,8,2024-02-01,2024-06-20,50,3.0,Positive
36,276,17,2024-03-02,2024-04-14,2,1.5,Negative
37,70,1,2024-04-16,2024-08-01,88,2.3,Positive
38,318,15,2023-10-17,2023-11-19,3,2.9,Positive
39,88,23,2023-08-08,2024-01-28,34,2.7,Positive
40,115,24,2024-07-05,2024-11-26,51,1.0,Neutral
41,59,14,2024-07-10,2024-11-21,66,1.2,Negative
42,50,17,2024-06-01,2024-10-12,90,4.7,Positive
43,106,19,2024-08-31,2025-02-18,10,4.6,Positive
44,43,15,2022-11-22,2023-03-15,69,4.8,Positive
45,156,10,2023-12-13,2024-03-01,53,2.4,Neutral
46,144,12,2023-03-09,2023-07-10,45,2.7,Positive
47,161,11,2023-01-07,2023-02-25,2,1.3,Neutral
48,264,21,2023-04-20,2023-07-31,83,3.8,Positive
49,395,6,2023-11-04,2023-12-24,53,4.7,Positive
50,234,22,2024-02-07,2024-03-11,10,2.0,Neutral
51,128,7,2023-10-05,2023-11-11,99,2.5,Positive
52,352,24,2024-02-07,2024-04-10,65,3.6,Neutral
53,218,14,2023-10-18,2024-02-02,58,2.3,Neutral
54,493,3,2023-05-22,2023-08-08,67,4.3,Positive
55,81,7,2023-02-18,2023-03-22,80,2.7,Positive
56,342,16,2024-10-02,2025-01-01,52,2.9,Negative
57,46,20,2023-03-06,2023-05-04,30,2.8,Positive
58,44,21,2024-01-06,2024-05-28,7,4.1,Positive
59,449,2,2024-05-25,2024-11-11,62,3.5,Negative
60,253,6,2023-02-07,2023-07-31,30,2.7,Positive
61,121,15,2024-08-03,2024-12-26,71,1.3,Negative
62,375,15,2023-10-22,2024-04-02,66,3.3,Negative
63,306,21,2023-06-03,2023-08-09,86,2.4,Negative
64,362,17,2023-04-13,2023-09-12,59,1.2,Neutral
65,181,17,2023-08-03,2023-12-23,84,2.3,Neutral
66,130,12,2023-03-11,2023-08-03,38,2.8,Negative
67,68,19,2023-04-02,2023-07-09,85,4.9,Positive
68,379,9,2024-06-04,2024-07-26,91,3.4,Positive
69,236,16,2023-12-19,2024-03-27,93,1.6,Positive
70,306,12,2024-01-16,2024-04-27,57,2.1,Negative
71,289,19,2023-03-30,2023-09-12,60,1.4,Neutral
72,466,13,2024-06-11,2024-07-18,8,3.2,Positive
73,250,22,2024-02-08,2024-06-18,68,1.9,Negative
74,272,11,2024-07-25,2024-11-07,6,2.3,Neutral
75,213,1,2023-10-31,2024-01-26,47,4.6,Positive
76,318,12,2023-03-31,2023-07-12,64,2.5,Neutral
77,137,18,2023-05-31,2023-10-15,7,4.5,Positive
78,407,10,2023-11-14,2024-03-26,29,4.2,Positive
79,308,14,2022-11-02,2022-12-05,77,3.4,Negative
80,152,14,2022-10-20,2023-03-09,61,4.1,Positive
81,424,21,2022-10-16,2022-12-03,40,4.3,Positive
82,149,22,2023-05-02,2023-06-29,34,2.2,Positive
83,255,24,2024-05-28,2024-10-02,86,2.2,Neutral
84,329,8,2023-10-05,2024-01-20,3,4.3,Positive
85,191,2,2022-10-20,2023-01-03,66,4.0,Positive
86,57,9,2024-09-02,2025-01-12,44,3.7,Neutral
87,384,11,2024-08-10,2024-11-09,72,3.6,Negative
88,202,8,2023-09-14,2023-12-25,52,1.4,Positive
89,262,11,2022-10-11,2022-11-12,60,2.3,Neutral
90,347,21,2023-07-14,2023-10-30,62,1.3,Neutral
91,462,21,2023-06-07,2023-10-25,71,4.4,Positive
92,160,4,2023-03-24,2023-08-04,49,3.3,Neutral
93,486,21,2024-03-24,2024-06-21,30,4.5,Positive
94,280,17,2024-03-14,2024-08-14,71,1.1,Negative
95,477,7,2023-11-30,2024-01-22,73,2.1,Positive
96,383,18,2023-11-23,2024-04-24,56,1.1,Negative
97,204,16,2023-02-27,2023-05-12,45,3.2,Negative
98,407,3,2024-07-25,2024-10-21,96,1.3,Neutral
99,295,14,2024-01-31,2024-06-05,23,4.7,Positive
100,49,14,2023-12-28,2024-06-02,52,3.4,Neutral
101,159,22,2023-08-09,2023-09-22,66,4.9,Positive
102,152,6,2023-08-16,2023-12-15,71,1.4,Negative
103,446,15,2024-09-25,2024-10-30,27,1.9,Neutral
104,342,7,2023-05-13,2023-08-05,21,3.6,Negative
105,432,10,2023-06-27,2023-11-15,52,4.6,Positive
106,441,8,2023-03-19,2023-07-21,66,1.0,Negative
107,471,17,2023-05-14,2023-06-19,93,3.1,Negative
108,289,19,2022-12-04,2023-01-20,23,3.7,Neutral
109,76,6,2022-11-06,2023-01-24,40,4.3,Positive
110,4,3,2024-08-26,2024-11-30,43,4.1,Positive
111,388,15,2024-03-16,2024-08-24,36,4.9,Positive
112,97,17,2024-04-01,2024-05-16,41,2.0,Negative
113,236,1,2024-09-22,2025-01-30,76,3.8,Negative
114,207,10,2023-10-22,2023-12-22,60,1.8,Neutral
115,9,21,2024-02-20,2024-04-25,10,4.4,Positive
116,181,24,2023-12-16,2024-03-21,73,1.4,Neutral
117,210,22,2024-03-29,2024-05-01,42,1.5,Neutral
118,468,7,2024-01-09,2024-06-24,39,2.7,Negative
119,260,8,2024-06-24,2024-11-11,96,2.5,Neutral
120,370,21,2022-11-26,2023-03-28,52,3.4,Negative
121,204,11,2022-10-29,2023-03-27,39,3.3,Positive
122,498,22,2022-10-16,2023-02-27,91,3.7,Neutral
123,419,2,2023-02-26,2023-07-30,70,1.9,Negative
124,468,20,2023-11-02,2024-01-24,2,4.6,Positive
125,388,1,2023-06-19,2023-08-17,53,3.2,Negative
126,427,17,2023-11-04,2024-01-28,35,3.2,Neutral
127,27,13,2024-09-28,2025-03-08,99,3.3,Neutral
128,21,6,2023-12-01,2024-03-12,17,1.2,Negative
129,193,23,2024-02-22,2024-06-18,59,1.3,Neutral
130,8,17,2024-08-10,2024-09-23,91,4.2,Positive
131,40,3,2023-05-22,2023-09-12,1,2.4,Negative
132,477,17,2022-11-19,2023-04-08,66,4.6,Positive
133,48,10,2024-07-05,2024-11-19,64,4.3,Positive
134,222,19,2024-08-08,2024-10-31,85,2.5,Positive
135,443,18,2024-01-08,2024-02-16,81,4.2,Positive
136,202,14,2024-02-24,2024-06-05,14,2.9,Neutral
137,349,11,2022-12-31,2023-06-15,58,3.1,Positive
138,87,22,2023-02-17,2023-05-25,30,3.7,Neutral
139,160,9,2023-09-07,2024-01-29,52,2.9,Negative
140,135,21,2023-09-22,2024-01-10,3,1.2,Negative
141,9,11,2023-12-25,2024-02-06,43,2.1,Neutral
142,251,22,2023-06-10,2023-09-21,31,1.4,Negative
143,26,15,2024-09-24,2024-11-03,76,4.0,Positive
144,407,2,2023-09-10,2023-10-18,59,3.2,Positive
145,213,2,2023-12-21,2024-06-09,14,3.8,Negative
146,66,11,2023-09-03,2023-12-15,80,1.5,Negative
147,132,17,2023-01-14,2023-02-16,22,3.4,Positive
148,494,2,2024-09-29,2024-11-01,56,3.9,Negative
149,400,9,2023-07-12,2023-09-08,70,3.3,Positive
150,283,22,2023-05-29,2023-07-05,67,4.3,Positive
151,466,24,2023-02-14,2023-06-06,16,1.0,Negative
152,285,20,2023-03-01,2023-06-23,45,3.5,Neutral
153,446,19,2023-10-08,2024-04-04,45,2.5,Neutral
154,17,15,2023-03-23,2023-04-25,39,4.7,Positive
155,486,22,2023-12-30,2024-05-14,57,4.2,Positive
156,470,4,2022-10-30,2023-02-20,24,2.3,Negative
157,286,9,2023-12-10,2024-02-05,53,1.7,Positive
158,285,13,2023-04-01,2023-05-15,86,1.1,Neutral
159,349,14,2022-11-25,2023-04-30,21,3.7,Positive
160,95,20,2024-08-14,2025-02-05,46,4.5,Positive
161,318,16,2022-10-30,2022-12-17,62,4.8,Positive
162,204,5,2024-05-02,2024-07-04,39,3.3,Negative
163,435,23,2023-09-25,2023-12-23,84,4.4,Positive
164,286,6,2024-08-23,2024-10-18,45,3.2,Positive
165,205,9,2023-09-29,2023-12-18,14,1.4,Neutral
166,276,9,2023-04-10,2023-05-22,44,1.2,Negative
167,484,4,2024-05-30,2024-09-10,15,4.8,Positive
168,495,6,2024-09-17,2025-02-14,94,3.5,Negative
169,391,17,2023-06-18,2023-10-30,21,2.4,Negative
